Province,Commune,Nom Etab,Categorie,Nom Complet
Chtouka Ait Baha,Ida Ougnidif,Aguerd,DR,Dispensaire Rural
Chtouka Ait Baha,Tizi Ntakoucht,Takoucht,CSC,Centre de santé communal
Chtouka Ait Baha,Tassegdelt,Zao,DR,Dispensaire Rural
Chtouka Ait Baha,Targua Ntouchka,Tiouaziouine,DR,Dispensaire Rural
Chtouka Ait Baha,Ait Baha  ,Ait Baha I,CSU,Centre de santé urbain
Driouch,Talilit,Talilit    ,CSC,Centre de santé communal
Driouch,Ben Taieb,Ben Taieb,CSUA,Centre de santé urbain avec module d'accouchement
Driouch,M'hajer,M'hajer,CSC,Centre de santé communal
Driouch,Midar,Midar,CSUA,Centre de santé urbain avec module d'accouchement
Driouch,Iferni,Midar Haut,CSC,Centre de santé communal
Driouch,Iferni,B.BOUYIRI JBEL (Bouyart),DR,Dispensaire Rural
Driouch,Tafersit,Tafersit,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Azlaf,Azlef,CSC,Centre de santé communal
Driouch,Tsaft,Kassita,CSC,Centre de santé communal
Driouch,Ijermaouas,Ijermaouas,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Ijermaouas,Izray,DR,Dispensaire Rural
Driouch,Oulad Amghar,Oulad Amghar,CSC,Centre de santé communal
Driouch,Boudinar,Boudinar  ,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Boudinar,Ait Chokt,DR,Dispensaire Rural
Driouch,Bni Marghnine,Trifa B.Marghnine,CSC,Centre de santé communal
Driouch,Temsamane,Khmiss Temsamane,CSC,Centre de santé communal
Driouch,Trougout,Trougout,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Driouch,Driouch,CSUA,Centre de santé urbain avec module d'accouchement
Driouch,Ain Zohra,Ain Zohra,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Oulad Boubker,Oulad Boubker,CSC,Centre de santé communal
Driouch,Dar El Kebdani,Dar Elkebdani,CSCA,Centre de santé communal avec module d'accouchement
Driouch,Tazaghine,Tazaghine,CSC,Centre de santé communal
Driouch,Amejjaou,Tkhabacht (Ihmidaten),CSC,Centre de santé communal
Driouch,Amejjaou,Bouramana,DR,Dispensaire Rural
Driouch,Ait Mait,Ait Mait,CSC,Centre de santé communal
Driouch,Ouardana,Ouardana,CSC,Centre de santé communal
El Hajeb,El Hajeb,El Hajeb I,CSU,Centre de santé urbain
El Hajeb,El Hajeb,El Hajeb II,CSU,Centre de santé urbain
El Hajeb,Ain Taoujdate,A.Taoujdate,CSUA,Centre de santé urbain avec module d'accouchement
El Hajeb,Sabaa Aiyoun,Sbaa Ayoun,CSUA,Centre de santé urbain avec module d'accouchement
El Hajeb,Agourai,Agourai,CSUA,Centre de santé urbain avec module d'accouchement
El Hajeb,Ait Naamane,Abdelkrim El Khattabi (Ait Naamane),CSC,Centre de santé communal
El Hajeb,Iqaddar,Amane Sayarnine (Iqaddar),CSC,Centre de santé communal
El Hajeb,Iqaddar,Lassadam,DR,Dispensaire Rural
El Hajeb,Ait Bourzouine,Rabil (Dalkouss),CSC,Centre de santé communal
El Hajeb,Ait Bourzouine,Dir,DR,Dispensaire Rural
El Hajeb,Ait Harz Allah,Ait Harz Allah,CSC,Centre de santé communal
El Hajeb,Ait Harz Allah,Ben Kaddouch,DR,Dispensaire Rural
El Hajeb,Ait Harz Allah,Aghbalou Oumlil,DR,Dispensaire Rural
El Hajeb,Ait Boubidmane,Bouderbala,CSCA,Centre de santé communal avec module d'accouchement
El Hajeb,Ait Boubidmane,Souk El Gour,DR,Dispensaire Rural
El Hajeb,Bitit,Ait Ouallal,CSC,Centre de santé communal
El Hajeb,Laqsir,Laqsir,CSC,Centre de santé communal
El Hajeb,Laqsir,Ait Brahim,DR,Dispensaire Rural
El Hajeb,Tamchachate,Med ZERKTOUNI (SAADA),CSC,Centre de santé communal
El Hajeb,Ait Yaazem,Ait Yaazem,CSCA,Centre de santé communal avec module d'accouchement
El Hajeb,Ait Ouikhalfen,Youssoufia,CSC,Centre de santé communal
El Hajeb,Jahjouh,Souk Sebt,CSCA,Centre de santé communal avec module d'accouchement
El Hajeb,Ras Ijerri,Ras Ijerri,CSCA,Centre de santé communal avec module d'accouchement
El Jadida,Azemmour,Azemmour,CSU,Centre de santé urbain
El Jadida,Azemmour,My BOUCHAIB,CSU,Centre de santé urbain
El Jadida,Lbir Jdid,Bir Jdid,CSUA,Centre de santé urbain avec module d'accouchement
El Jadida,Lamharza Essahel,Lamharza,CSC,Centre de santé communal
El Jadida,Laghdira,Laghdira,CSC,Centre de santé communal
El Jadida,Sidi Ali Ben  Hamdouche,Sidi Ali,CSC,Centre de santé communal
El Jadida,Chtouka,Tnine Chtouka,CSCA,Centre de santé communal avec module d'accouchement
El Jadida,Haouzia,Tikni,CSC,Centre de santé communal
El Jadida,Oulad Rahmoune,Oulad Rahmoune,CSC,Centre de santé communal
El Jadida,Oulad Rahmoune,Souk Jemaa,DR,Dispensaire Rural
El Jadida,Oulad Hcine,Ouled Hcine,CSC,Centre de santé communal
El Jadida,Moulay Abdallah,My ABDELLAH,CSC,Centre de santé communal
El Jadida,Sidi Abed,Sidi Abed,CSC,Centre de santé communal
El Jadida,Sidi M'hamed  Akhdim,S.M'hamed Akhdim,CSC,Centre de santé communal
El Jadida,Oulad Aissa,Ouled Aissa,CSC,Centre de santé communal
El Jadida,Oulad Ghanem,Ouled Ghanem,CSCA,Centre de santé communal avec module d'accouchement
El Jadida,El-Jadida,Derb Guebbas,CSU,Centre de santé urbain
El Jadida,El-Jadida,Derb Ghalef,CSU,Centre de santé urbain
El Jadida,El-Jadida,Ibn Mouhajir,CSU,Centre de santé urbain
El Jadida,El-Jadida,Sidi Yahia,CSU,Centre de santé urbain
El Jadida,El-Jadida,Bouchrit,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
El Jadida,El-Jadida,Essaada,CSU,Centre de santé urbain
El Jadida,El-Jadida,Centre De Reference,CRPF,CRPF
El Jadida,El-Jadida,Laboratoire Siaap,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
El Jadida,Oulad Sidi Ali  Ben Youssef,S.Ali B.Youssef(El Aoujate),CSC,Centre de santé communal
El Jadida,Si Hsaien Ben  Abderrahmane,S.Hsain B.Abderah (Bir Babouche),CSC,Centre de santé communal
El Jadida,Oulad Frej,Ouled Frej,CSCA,Centre de santé communal avec module d'accouchement
El Jadida,Zaouiat Lakouacem,Kouacem,CSC,Centre de santé communal
El Jadida,Chaibate,Chaibate,CSC,Centre de santé communal
El Jadida,Oulad Hamdane,Ouled Hamdane,CSC,Centre de santé communal
El Jadida,Oulad Hamdane,Boucedra,DR,Dispensaire Rural
El Jadida,Mettouh,Mettouh,CSC,Centre de santé communal
El Jadida,Boulaouane,Boulaouane Kasba(Od Ali Boulaouane),CSC,Centre de santé communal
El Jadida,Boulaouane,Boulaouane,DR,Dispensaire Rural
El Jadida,Sebt Saiss,Sebt Saiss,CSC,Centre de santé communal
El Jadida,Zaouiat Saiss,Zaouiat Saiss,CSC,Centre de santé communal
El Jadida,Mogress,Mogress,CSC,Centre de santé communal
El Jadida,Sidi Smail,Sidi Smail,CSCA,Centre de santé communal avec module d'accouchement
El Jadida,Moulay Abdallah,Sidi Bouzid,DR,Dispensaire Rural
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,Quartier Administratif,CSU,Centre de santé urbain
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,Arsa,CSU,Centre de santé urbain
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,El Qods,CSU,Centre de santé urbain
El Kelaa Des Sraghna,Laatamna,Od Abbou,DR,Dispensaire Rural
El Kelaa Des Sraghna,Assahrij,Lahmadna,DR,Dispensaire Rural
El Kelaa Des Sraghna,Jouala,Khnaifare,DR,Dispensaire Rural
El Kelaa Des Sraghna,Mayate,Od Cheikh Garni,DR,Dispensaire Rural
El Kelaa Des Sraghna,Sidi El Hattab,Lakhlafna,DR,Dispensaire Rural
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,Cdtmr,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,CRPF (Intégrée Dans CSU Arsa),CRPF,CRPF
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,Centre Médico-Social,CSU,Centre de santé urbain
El Kelaa Des Sraghna,EL Kelaâ DES SRAGHNA,El Hana,CSU,Centre de santé urbain
El Kelaa Des Sraghna,Jbiel,Talghomte,DR,Dispensaire Rural
El Kelaa Des Sraghna,Laattaouia,Attaouia Centre,CSUA,Centre de santé urbain avec module d'accouchement
El Kelaa Des Sraghna,Laattaouia,Attaouia,CSU,Centre de santé urbain
El Kelaa Des Sraghna,Sidi Rahhal,Sidi Rahal,CSUA,Centre de santé urbain avec module d'accouchement
El Kelaa Des Sraghna,Tamallalt,Tamallalt,CSUA,Centre de santé urbain avec module d'accouchement
El Kelaa Des Sraghna,Oulad Aarrad,Oulad Aarrad(Falah),CSC,Centre de santé communal
El Kelaa Des Sraghna,Choara,Choaara(Od Amara),CSC,Centre de santé communal
El Kelaa Des Sraghna,Dzouz,Dzouz (Sidi Brahim ),CSC,Centre de santé communal
El Kelaa Des Sraghna,Fraita,Freita,CSC,Centre de santé communal
El Kelaa Des Sraghna,Laatamna,Laatamna (Od Ayoub),CSC,Centre de santé communal
El Kelaa Des Sraghna,Laattaouia  Ech-Chaybia,Attaouia Echchaybia,CSC,Centre de santé communal
El Kelaa Des Sraghna,Ouargui,Ouargui,CSC,Centre de santé communal
El Kelaa Des Sraghna,Bouya Omar,Bouya Omar (Bourouta),CSC,Centre de santé communal
El Kelaa Des Sraghna,Bouya Omar,Lamnassir,DR,Dispensaire Rural
El Kelaa Des Sraghna,Assahrij,Sahrij,CSCA,Centre de santé communal avec module d'accouchement
El Kelaa Des Sraghna,Sour El Aaz,Sour El Aaz,CSC,Centre de santé communal
El Kelaa Des Sraghna,Sour El Aaz,Sidi Driss,DR,Dispensaire Rural
El Kelaa Des Sraghna,Oulad Khallouf,Zouitina,CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Khallouf,Oulad Khallouf,DR,Dispensaire Rural
El Kelaa Des Sraghna,Loued Lakhdar,Louad Lakhdar(Madiaque),CSC,Centre de santé communal
El Kelaa Des Sraghna,M'zem Sanhaja,Tlata Mzem,CSC,Centre de santé communal
El Kelaa Des Sraghna,Sidi Aissa Ben  Slimane,S.Aissa B.Slimane,CSC,Centre de santé communal
El Kelaa Des Sraghna,Sidi Aissa Ben  Slimane,Od ALI JAMOUAA,DR,Dispensaire Rural
El Kelaa Des Sraghna,Sidi Aissa Ben  Slimane,Od S. M'HAMED TOUMI,DR,Dispensaire Rural
El Kelaa Des Sraghna,Zemrane,Zemrane (Lakrarma),CSCA,Centre de santé communal avec module d'accouchement
El Kelaa Des Sraghna,Zemrane,Hraoua,DR,Dispensaire Rural
El Kelaa Des Sraghna,Zemrane Charqia,Z. Charqia (Od Naceur),CSC,Centre de santé communal
El Kelaa Des Sraghna,Zemrane Charqia,Bouida,DR,Dispensaire Rural
El Kelaa Des Sraghna,Zemrane Charqia,Ouled Gaid,DR,Dispensaire Rural
El Kelaa Des Sraghna,Jouala,Jouala,CSCA,Centre de santé communal avec module d'accouchement
El Kelaa Des Sraghna,Jbiel,Jbiel (Chlihate),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Sbih,Oulad Sbih (Od Ali),CSC,Centre de santé communal
El Kelaa Des Sraghna,Hiadna,Hiadna,CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Zarrad,Od Zarrad (Od Bouhmad),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Cherki,Oulad Cherki,CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Cherki,Sidi Ali B.Nouiti,DR,Dispensaire Rural
El Kelaa Des Sraghna,El Marbouh,El Marbouh,CSC,Centre de santé communal
El Kelaa Des Sraghna,Mayate,Od SABEUR,CSC,Centre de santé communal
El Kelaa Des Sraghna,Mayate,Mayate,DR,Dispensaire Rural
El Kelaa Des Sraghna,Errafiaya,Errafiaya (Qant. Tassaout),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Aamer,Oulad Aamer,CSC,Centre de santé communal
El Kelaa Des Sraghna,Taouzint,Taouzint (Ait Si Abdellah),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Bouali Loued,Od Bouali Loued (Od Klib),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Bouali Loued,Ait Aissa,DR,Dispensaire Rural
El Kelaa Des Sraghna,El Aamria,El Amria (Larbaa Ghazet ),CSCA,Centre de santé communal avec module d'accouchement
El Kelaa Des Sraghna,Oulad Msabbel,Oulad Msabbel,CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Massaoud,Od Massaoud (Hal L'qoba),CSC,Centre de santé communal
El Kelaa Des Sraghna,Eddachra,Dechra,CSC,Centre de santé communal
El Kelaa Des Sraghna,Sidi Moussa,Sidi Moussa (Oulad Saaid),CSC,Centre de santé communal
El Kelaa Des Sraghna,Sidi El Hattab,Sidi  Hattab (Laazaba),CSC,Centre de santé communal
El Kelaa Des Sraghna,Chtaiba,Chtaiba,CSC,Centre de santé communal
El Kelaa Des Sraghna,Znada,Znada (Draoua),CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad Yaacoub,Ouled Yaacoub,CSC,Centre de santé communal
El Kelaa Des Sraghna,Oulad El Garne,Od El Garne (Souk Sebt),CSCA,Centre de santé communal avec module d'accouchement
El Kelaa Des Sraghna,Lounasda,Lounasda,CSC,Centre de santé communal
Errachidia,Errachidia,Abderrahmane Sahraoui,CSU,Centre de santé urbain
Errachidia,Errachidia,Med ZERKTOUNI,CSU,Centre de santé urbain
Errachidia,Errachidia,Mustapha Maani,CSU,Centre de santé urbain
Errachidia,Errachidia,Allal Ben Abdellah,CSU,Centre de santé urbain
Errachidia,Errachidia,Oulad Bounaji (Ouled Lhaj),CSU,Centre de santé urbain
Errachidia,Errachidia,Abderrahmane Sahraoui,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Errachidia,Errachidia,Abderrahmane Sahraoui,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Errachidia,Arfoud,Hassan Eddakhil,CSU,Centre de santé urbain
Errachidia,Goulmima,Guoulmima,CSU,Centre de santé urbain
Errachidia,Aarab Sebbah Ziz,Oulad Maatallah,CSC,Centre de santé communal
Errachidia,Aarab Sebbah Ziz,Maadid,DR,Dispensaire Rural
Errachidia,Es-Sifa,Es-Sifa,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Aarab Sebbah Gheris,Hannabou,CSC,Centre de santé communal
Errachidia,Fezna,Fezna,CSC,Centre de santé communal
Errachidia,Er-Rissani,Mezguida,CSC,Centre de santé communal
Errachidia,Bni M'hamed  Sijelmassa,Ouled Abdelhalim,DR,Dispensaire Rural
Errachidia,Bni M'hamed  Sijelmassa,El Ghorfa,DR,Dispensaire Rural
Errachidia,Bni M'hamed  Sijelmassa,Jbil,DR,Dispensaire Rural
Errachidia,Es-Sfalat,Es-Falat,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Et-Taous,Merzouga,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Et-Taous,Et-Taouz,DR,Dispensaire Rural
Errachidia,Sidi Ali,Sidi Ali(Tafraoute),CSC,Centre de santé communal
Errachidia,Aoufous,Aoufous,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Aoufous,Zaouit Amelkis,DR,Dispensaire Rural
Errachidia,Aoufous,Oulad Chaker,DR,Dispensaire Rural
Errachidia,Er-Rteb,Zrigate,DR,Dispensaire Rural
Errachidia,Er-Rteb,Douira,DR,Dispensaire Rural
Errachidia,Oued Naam,Sahli,CSC,Centre de santé communal
Errachidia,Oued Naam,Tazougarte,DR,Dispensaire Rural
Errachidia,Oued Naam,Bni Ouziem,DR,Dispensaire Rural
Errachidia,Chorfa M'daghra,Bni Moussi (Chorfa M'daghra),CSC,Centre de santé communal
Errachidia,Chorfa M'daghra,Meski,DR,Dispensaire Rural
Errachidia,Lkheng,Lkheng,CSC,Centre de santé communal
Errachidia,Lkheng,Ait Atmane,DR,Dispensaire Rural
Errachidia,Aghbalou N'kerdous,Aghbalou N'kerdous,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Aghbalou N'kerdous,Igoudmane,DR,Dispensaire Rural
Errachidia,Aghbalou N'kerdous,Ifegh,DR,Dispensaire Rural
Errachidia,Gheris Es-Soufli,Ouakka,CSC,Centre de santé communal
Errachidia,Gheris Es-Soufli,Tilouine,DR,Dispensaire Rural
Errachidia,Gheris El Ouloui,Ait Ihya Ou Atmane,CSC,Centre de santé communal
Errachidia,Tadighoust,Tadighoust,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Melaab,Melaab,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Melaab,Touroug,DR,Dispensaire Rural
Errachidia,Melaab,Igli,DR,Dispensaire Rural
Errachidia,Ferkla Es-Soufla,Ketaa El Oued,CSC,Centre de santé communal
Errachidia,Ferkla Es-Soufla,Tizougaghine,DR,Dispensaire Rural
Errachidia,Ferkla El Oulia,Asrir,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Jorf,Jorf,CSUA,Centre de santé urbain avec module d'accouchement
Errachidia,Moulay Ali Cherif,Sijilmassa (Kakou Hammou Dada),CSUA,Centre de santé urbain avec module d'accouchement
Errachidia,Boudnib,Boudnib,CSUA,Centre de santé urbain avec module d'accouchement
Errachidia,Tinejdad,Amraoui Brahim,CSUA,Centre de santé urbain avec module d'accouchement
Errachidia,Amellagou,Amellagou,CSCA,Centre de santé communal avec module d'accouchement
Errachidia,Chorfa M'daghra,Ksar Jdid (Kasba),DR,Dispensaire Rural
Errachidia,Amellagou,Agoudim,DR,Dispensaire Rural
Errachidia,Bni M'hamed  Sijelmassa,El Mansouria,CSC,Centre de santé communal
Errachidia,Er-Rteb,Tazmamarte,DR,Dispensaire Rural
Errachidia,Er-Rteb,Zaouia Jdida,CSC,Centre de santé communal
Es Semara,Es-Semara,Es-Semara I,CSU,Centre de santé urbain
Es Semara,Es-Semara,Rbieb,CSU,Centre de santé urbain
Es Semara,Es-Semara,Leguiz,CSU,Centre de santé urbain
Es Semara,Es-Semara,Hay Salam,CSU,Centre de santé urbain
Es Semara,Es-Semara,Massira Ii,CSU,Centre de santé urbain
Es Semara,Sidi Ahmed Laaroussi,S.Ahmed Laaroussi,CSC,Centre de santé communal
Es Semara,Amgala,Sidi Khattari (Amgala),CSC,Centre de santé communal
Es Semara,Haouza,Haouza,CSC,Centre de santé communal
Es Semara,Sidi Ahmed Laaroussi,Oued Sakia Lhamra,DR,Dispensaire Rural
Essaouira,Essaouira,Allal B.Ahmed Amkik,CSU,Centre de santé urbain
Essaouira,Essaouira,Larbi B.Ahm.L'bennay,CSU,Centre de santé urbain
Essaouira,Essaouira,Rahal B.Ahmed,CSU,Centre de santé urbain
Essaouira,Essaouira,Med  B. Ahmed El Bekkal,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Essaouira,Essaouira,S.Med B. Abdellah,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Essaouira,Essaouira,Allal B.Ahmed Amkik,CRPF,CRPF
Essaouira,El Hanchane,El Hanchane,CSUA,Centre de santé urbain avec module d'accouchement
Essaouira,Talmest,Talmest,CSUA,Centre de santé urbain avec module d'accouchement
Essaouira,Ait Daoud,Ait Daoud,CSUA,Centre de santé urbain avec module d'accouchement
Essaouira,Tamanar,Tamanar,CSUA,Centre de santé urbain avec module d'accouchement
Essaouira,Mzilate,Mzilate,CSC,Centre de santé communal
Essaouira,Sidi M'hamed Ou Marzouq,S.Mhamed Oumarzouq,CSC,Centre de santé communal
Essaouira,M'ramer,M'ramer,CSC,Centre de santé communal
Essaouira,Sidi Boulaalam,Fej Rih,CSC,Centre de santé communal
Essaouira,Sidi Aissa Regragui,Nairat,CSC,Centre de santé communal
Essaouira,Takate,Takate,CSC,Centre de santé communal
Essaouira,Takate,Jbilat,DR,Dispensaire Rural
Essaouira,Oulad M'rabet,Oulad Said,CSC,Centre de santé communal
Essaouira,Tafetachte,Tafetachte,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Mejji,Mejji,CSC,Centre de santé communal
Essaouira,Kechoula,Sidi Larbi (Kechoula),CSC,Centre de santé communal
Essaouira,Moulay Bouzarqtoune,Ait Tahria,CSC,Centre de santé communal
Essaouira,Ounagha,Ounagha,CSC,Centre de santé communal
Essaouira,Ounagha,Bir M'zouri,DR,Dispensaire Rural
Essaouira,Had Dra,Had Dra,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Meskala,Meskala,CSC,Centre de santé communal
Essaouira,Mouarid,Mouarid,CSC,Centre de santé communal
Essaouira,Mouarid,Tabarda,DR,Dispensaire Rural
Essaouira,Korimate,Korimate,CSC,Centre de santé communal
Essaouira,Lahsinate,Lahsinate,CSC,Centre de santé communal
Essaouira,Ait Said,Ait El Haj,CSC,Centre de santé communal
Essaouira,Lagdadra,Lagdadra,CSC,Centre de santé communal
Essaouira,Sidi Ishaq,Souk Aame,CSC,Centre de santé communal
Essaouira,Sidi Ali El Korati,Sidi Ali El Korati,CSC,Centre de santé communal
Essaouira,Aquermoud,Akermoud,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Zaouiat Ben Hmida,Zaouiat Ben Hmida,CSC,Centre de santé communal
Essaouira,M'khalif,Berrakt Radi,CSC,Centre de santé communal
Essaouira,Sidi Abdeljalil,Sidi Abdeljalil,CSC,Centre de santé communal
Essaouira,Sidi Laaroussi,Sidi Laaroussi,CSC,Centre de santé communal
Essaouira,Sidi Laaroussi,Skiate   ,DR,Dispensaire Rural
Essaouira,Adaghas,Adaghas,CSC,Centre de santé communal
Essaouira,Assais,Assais Akrarou,CSC,Centre de santé communal
Essaouira,Bouzemmour,Bouzemmour  ,CSC,Centre de santé communal
Essaouira,Aglif,Aglif,CSC,Centre de santé communal
Essaouira,Takoucht,Takoucht,CSC,Centre de santé communal
Essaouira,Sidi Ghaneme,Ait Zelten,CSC,Centre de santé communal
Essaouira,Ezzaouite,Ezzaouite Issoukine,CSC,Centre de santé communal
Essaouira,Tahelouante,Tahelouante,CSC,Centre de santé communal
Essaouira,Bizdad,Bizdad,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Bizdad,Idaouzemzem,DR,Dispensaire Rural
Essaouira,Bizdad,Ait Bayoud,DR,Dispensaire Rural
Essaouira,Sidi Kaouki,Sidi Kaouki,CSC,Centre de santé communal
Essaouira,Aguerd,Ida Ougourd,CSC,Centre de santé communal
Essaouira,Sidi Hmad Ou Hamed,S.H'mad Ou Hmed,CSC,Centre de santé communal
Essaouira,Tidzi,Tigoudar,CSC,Centre de santé communal
Essaouira,Sidi El Jazouli,Neknafa,CSC,Centre de santé communal
Essaouira,Imi N'tlit,Imi-N'tlit,CSC,Centre de santé communal
Essaouira,Smimou,Smimou,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Tafedna,Tafedna,CSC,Centre de santé communal
Essaouira,Sidi Ahmed Essayeh,S.Ahmed Essayeh,CSC,Centre de santé communal
Essaouira,Ida Ou Aazza,Toughniste (Ida Ouaazza),CSC,Centre de santé communal
Essaouira,Timizguida Ouftas,Imerdidsene,CSC,Centre de santé communal
Essaouira,Ait Aissi Ihahane,Ait Aissi,CSC,Centre de santé communal
Essaouira,Ida Ou Kazzou,Ida Ou Kazzou,CSC,Centre de santé communal
Essaouira,Ida Ou Guelloul,Ida Ouguilloul,CSC,Centre de santé communal
Essaouira,Sidi H'mad  Ou M'barek,Idaoutrouma,CSCA,Centre de santé communal avec module d'accouchement
Essaouira,Imgrade,Dhar  ,CSC,Centre de santé communal
Essaouira,Imgrade,Tizougate,DR,Dispensaire Rural
Essaouira,Targante,Targante,CSC,Centre de santé communal
Essaouira,Adaghas,Artnan,DR,Dispensaire Rural
Fahs Anjra,Al Bahraoyine,Nouinouich,CSC,Centre de santé communal
Fahs Anjra,Malloussa,Malloussa,CSC,Centre de santé communal
Fahs Anjra,Ksar Sghir,Ksar Sghir,CSCA,Centre de santé communal avec module d'accouchement
Fahs Anjra,Jouamaa,Hakkama,CSC,Centre de santé communal
Fahs Anjra,Anjra,Khmiss Anjra,CSCA,Centre de santé communal avec module d'accouchement
Fahs Anjra,Ksar El Majaz,Ksar El Majaz,CSC,Centre de santé communal
Fahs Anjra,Taghramt,Taghramt,CSCA,Centre de santé communal avec module d'accouchement
Fahs Anjra,Al Bahraoyine,Lekhreb,DR,Dispensaire Rural
Fes,Mechouar Fes Jdid,Bab Boujat,CSUA,Centre de santé urbain avec module d'accouchement
Fes,Mechouar Fes Jdid,Boutouil,CSU,Centre de santé urbain
Fes,Mechouar Fes Jdid,Bab Jiaf,CSU,Centre de santé urbain
Fes,Agdal (Ar),Ville Nouvelle,CSU,Centre de santé urbain
Fes,Agdal (Ar),Dokkarat,CSU,Centre de santé urbain
Fes,Agdal (Ar),Adarissa,CSU,Centre de santé urbain
Fes,Agdal (Ar),Dar Dbibagh,CSU,Centre de santé urbain
Fes,Agdal (Ar),Sidi Brahim,CSU,Centre de santé urbain
Fes,Agdal (Ar),Centre De Reference,CRPF,CRPF
Fes,Agdal (Ar),Labo. Epidemiologique,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Fes,Saiss (Ar),Nargiss,CSU,Centre de santé urbain
Fes,Saiss (Ar),Aouinat Hajjaj,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Dhar Lakhmis,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Ben Slimane,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Al Hajoui,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Ain Haroun,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Ain Kadous,CSU,Centre de santé urbain
Fes,Zouagha (Ar),Ben Souda,CSU,Centre de santé urbain
Fes,Zouagha (Ar),Wifak,CSU,Centre de santé urbain
Fes,El Mariniyine (Ar),Bab Sifer,CSU,Centre de santé urbain
Fes,Zouagha (Ar),Massira,CSU,Centre de santé urbain
Fes,Zouagha (Ar),Oued Fes,CSU,Centre de santé urbain
Fes,Zouagha (Ar),Ben Debbab,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Fes,Zouagha (Ar),Lalla Soukaina,CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),Sidi Boujida,CSUA,Centre de santé urbain avec module d'accouchement
Fes,Jnan El Ouard (Ar),Jnanate,CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),S.Ali Boughaleb (Adoua),CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),Driss B.Yahya(Babjdid),CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),Baghdadi(Andalous),CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),Lemtyene,CSU,Centre de santé urbain
Fes,Jnan El Ouard (Ar),Sahrij Gnaoua,CSU,Centre de santé urbain
Fes,Fes-Medina (Ar),Blida,CSU,Centre de santé urbain
Fes,Jnan El Ouard (Ar),Ain Nokbi,CSUA,Centre de santé urbain avec module d'accouchement
Fes,Oulad Tayeb,Oulad Tayeb I,DR,Dispensaire Rural
Fes,Oulad Tayeb,Oulad Tayeb Ii,CSCA,Centre de santé communal avec module d'accouchement
Fes,Sidi Harazem,Sidi Harazem,CSCA,Centre de santé communal avec module d'accouchement
Fes,Sidi Harazem,Skhinate,DR,Dispensaire Rural
Fes,Ain Bida,Ain Bida,CSC,Centre de santé communal
Fes,Agdal (Ar),Hay Tarik,CSU,Centre de santé urbain
